DatumZeit,LinkKasse,LinkArtikel,Anzahl
2017-04-25,32,1219,20.0
2017-04-25,32,1221,8.0
2017-04-25,32,1222,13.0
2017-04-25,32,1224,8.0
2017-04-25,32,1570,21.0
2017-04-25,32,1939,9.0
2017-04-25,32,2054,16.0
2017-04-25,32,2057,13.0
2017-04-26,32,1216,365.0
2017-04-26,32,1218,211.0
2017-04-26,32,1219,23.0
2017-04-26,32,1221,19.0
2017-04-26,32,1222,11.0
2017-04-26,32,1224,12.0
2017-04-26,32,1570,18.0
2017-04-26,32,1939,5.0
2017-04-26,32,2054,10.0
2017-04-26,32,2057,8.0
2017-04-27,32,1216,345.0
2017-04-27,32,1218,202.0
2017-04-27,32,1219,23.0
2017-04-27,32,1221,35.0
2017-04-27,32,1222,11.0
2017-04-27,32,1224,21.0
2017-04-27,32,1570,32.0
2017-04-27,32,1939,14.0
2017-04-27,32,2054,17.0
2017-04-27,32,2057,16.0
2017-04-28,32,1216,368.0
2017-04-28,32,1218,264.0
2017-04-28,32,1219,24.0
2017-04-28,32,1221,27.0
2017-04-28,32,1222,18.0
2017-04-28,32,1224,14.0
2017-04-28,32,1570,25.0
2017-04-28,32,1939,17.0
2017-04-28,32,2054,13.0
2017-04-28,32,2057,14.0
2017-04-29,32,1216,645.0
2017-04-29,32,1218,386.0
2017-04-29,32,1219,98.0
2017-04-29,32,1221,79.0
2017-04-29,32,1222,60.0
2017-04-29,32,1224,34.0
2017-04-29,32,1570,25.0
2017-04-29,32,1939,10.0
2017-04-29,32,2054,31.0
2017-04-29,32,2057,53.0
2017-04-30,32,1216,640.0
2017-04-30,32,1218,516.0
2017-04-30,32,1219,109.0
2017-04-30,32,1221,78.0
2017-04-30,32,1222,47.0
2017-04-30,32,1224,56.0
2017-04-30,32,1570,29.0
2017-04-30,32,1939,15.0
2017-04-30,32,2054,31.0
2017-04-30,32,2057,73.0
2017-05-01,32,1216,675.0
2017-05-01,32,1218,594.0
2017-05-01,32,1219,103.0
2017-05-01,32,1221,92.0
2017-05-01,32,1222,70.0
2017-05-01,32,1224,61.0
2017-05-01,32,1570,36.0
2017-05-01,32,1939,8.0
2017-05-01,32,2054,47.0
2017-05-01,32,2057,80.0
2017-05-02,32,1216,356.0
2017-05-02,32,1218,283.0
2017-05-02,32,1219,21.0
2017-05-02,32,1221,33.0
2017-05-02,32,1222,14.0
2017-05-02,32,1224,9.0
2017-05-02,32,1570,24.0
2017-05-02,32,1939,6.0
2017-05-02,32,2054,20.0
2017-05-02,32,2057,13.0
2017-05-03,32,1216,370.0
2017-05-03,32,1218,241.0
2017-05-03,32,1219,14.0
2017-05-03,32,1221,24.0
2017-05-03,32,1222,8.0
2017-05-03,32,1224,12.0
2017-05-03,32,1570,23.0
2017-05-03,32,1939,11.0
2017-05-03,32,2054,14.0
2017-05-03,32,2057,13.0
2017-05-04,32,1216,240.0
2017-05-04,32,1218,136.0
2017-05-04,32,1219,14.0
2017-05-04,32,1221,11.0
2017-05-04,32,1222,4.0
2017-05-04,32,1224,7.0
2017-05-04,32,1570,25.0
2017-05-04,32,1939,17.0
2017-05-04,32,2054,17.0
2017-05-04,32,2057,12.0
2017-05-05,32,1216,381.0
2017-05-05,32,1218,297.0
2017-05-05,32,1219,23.0
2017-05-05,32,1221,15.0
2017-05-05,32,1222,16.0
2017-05-05,32,1224,12.0
2017-05-05,32,1570,18.0
2017-05-05,32,1939,7.0
2017-05-05,32,2054,15.0
2017-05-05,32,2057,12.0
2017-05-06,32,1216,607.0
2017-05-06,32,1218,469.0
2017-05-06,32,1219,81.0
2017-05-06,32,1221,76.0
2017-05-06,32,1222,51.0
2017-05-06,32,1224,28.0
